pad_number,x,y,via_x,via_y,connector_number,connector_pin,pin_name,sector,strip,channel_id,pin_x,pin_y,pad_angle,pad_cx,pad_cy,pad_area,pad_w,pad_h,radius,phi,delta_phi,mec8_connector,mec8_pin
12,460.976,48.766,449.739,46.564,0,15,S13,0,115,114,624.4404,66.6561,274.837,449.6921,46.4953,132.793,11.9582,11.514,499.5053,0.13928482,0.01280982,1,56
13,324.418,35.978,313.091,34.623,0,16,S14,0,116,115,632.7108,67.356,274.837,313.05,34.5537,132.33,11.9934,11.5907,362.5491,0.15664848,0.01736366,1,55
14,335.792,37.0,324.586,34.636,0,17,S15,0,113,112,624.4825,66.1579,274.837,324.5435,34.5669,132.38,11.956,11.5469,373.944,0.15460283,0.01842106,1,54
15,594.892,59.344,586.374,58.511,0,18,S16,0,114,113,632.753,66.8578,274.837,586.3244,58.4419,133.037,11.9388,11.4728,633.645,0.126475,-0.02812783,1,53
16,210.66,24.656,199.422,22.735,0,19,S17,0,111,110,624.5247,65.6597,274.837,199.3905,22.6673,131.39,11.9481,11.6219,248.5043,0.183065,0.04882617,1,52
17,472.466,48.776,461.226,46.575,0,20,S18,0,112,111,632.7951,66.3595,274.837,461.1788,46.5058,132.819,11.9339,11.4856,510.8879,0.13618177,-0.04688323,1,51
18,347.393,36.105,336.076,34.648,0,21,S19,0,109,108,624.5669,65.1615,274.837,336.0329,34.5794,132.423,11.9206,11.5074,385.2781,0.14767081,0.00192603,1,50
19,483.896,49.318,472.71,46.584,0,22,S20,0,110,109,632.8373,65.8613,274.837,472.6627,46.5156,132.844,11.9086,11.4582,522.2867,0.13423883,-0.01343198,1,49
20,495.488,48.332,484.192,46.594,0,23,S21,0,107,106,624.609,64.6632,274.837,484.1441,46.5246,132.867,11.8933,11.432,533.6484,0.12950057,-0.04556925,1,48
21,358.777,37.026,347.562,34.66,0,24,S22,0,108,107,632.8795,65.3631,274.837,347.5183,34.5907,132.475,11.9113,11.469,396.6744,0.14574478,0.01624421,1,47
22,506.931,48.707,495.671,46.602,0,25,S23,0,105,104,624.6512,64.165,274.837,495.6232,46.5334,132.879,11.8922,11.4071,545.0451,0.1274716,-0.01421144,1,46
23,222.163,24.673,210.919,22.751,0,26,S24,0,106,105,632.9216,64.8649,274.837,210.8855,22.683,131.523,11.9452,11.5563,259.8265,0.17506982,0.04759822,1,45
24,233.684,24.491,222.409,22.765,0,27,S25,0,103,102,624.6934,63.6668,274.837,222.3739,22.6967,131.66,11.9428,11.5031,271.1485,0.16700806,0.04257655,1,44
25,370.264,37.037,359.044,34.67,0,28,S26,0,104,103,632.9638,64.3667,274.837,358.9998,34.6019,132.523,11.9102,11.4372,408.0446,0.14168304,-0.02532502,1,43
26,381.767,36.879,370.523,34.68,0,29,S27,0,101,100,624.7355,63.1686,274.837,370.4784,34.6116,132.568,11.9083,11.4087,419.4138,0.13743722,-0.02285588,1,42
27,518.435,48.476,507.148,46.61,0,30,S28,0,102,101,633.006,63.8684,274.837,507.0996,46.5414,132.911,11.8911,11.387,556.429,0.12443151,-0.01300571,1,41
28,529.97,47.891,518.623,46.618,0,31,S29,0,99,98,624.7777,62.6704,274.837,518.5745,46.5495,132.934,11.8911,11.3692,567.8058,0.12088788,-0.012301,1,40
29,245.172,24.504,233.894,22.777,0,32,S30,0,100,99,633.0481,63.3702,274.837,233.8567,22.7091,131.771,11.939,11.4575,282.4852,0.1602931,0.03940522,1,39
30,541.409,48.257,530.096,46.625,0,33,S31,0,97,96,624.8198,62.1721,274.837,530.0471,46.5566,132.952,11.8902,11.3533,579.2063,0.11913351,-0.03495894,1,38
31,393.274,36.623,382.0,34.689,0,34,S32,0,98,97,633.0903,62.872,274.837,381.9541,34.6207,132.603,11.9066,11.3847,430.7811,0.13318888,0.01405537,1,37
32,404.836,35.783,393.473,34.697,0,37,S33,0,95,94,624.9042,61.1757,274.837,393.4271,34.6292,132.634,11.905,11.3636,442.1355,0.12783316,0.01178064,1,34
33,256.655,24.515,245.373,22.788,0,38,S34,0,96,95,633.1746,61.8756,274.837,245.3344,22.7198,131.871,11.9357,11.4186,293.8284,0.15409245,0.02625929,1,33
34,416.252,36.36,404.944,34.705,0,39,S35,0,93,92,624.9463,60.6775,274.837,404.8974,34.6371,132.676,11.9036,11.3469,453.5328,0.12588604,0.01202988,1,32
35,552.926,47.803,541.567,46.632,0,40,S36,0,94,93,633.2168,61.3773,274.837,541.5178,46.5639,132.963,11.8884,11.3397,590.5905,0.11605252,-0.00983352,1,31
36,268.134,24.526,256.847,22.797,0,41,S37,0,91,90,624.9885,60.1793,274.837,256.8081,22.7298,131.962,11.9327,11.3878,305.1781,0.1483549,0.03666065,1,30
37,564.396,47.809,553.037,46.639,0,42,S38,0,92,91,633.2589,60.8791,274.837,552.987,46.5704,132.988,11.8886,11.3332,601.9855,0.11385616,-0.03449874,1,29
38,427.788,35.674,416.413,34.713,0,43,S39,0,89,88,625.0306,59.681,274.837,416.3657,34.6444,132.709,11.9023,11.3495,464.8962,0.1213066,0.01164856,1,28
39,575.867,47.786,564.505,46.645,0,44,S40,0,90,89,633.3011,60.3809,274.837,564.4546,46.5769,132.997,11.8869,11.3437,613.3811,0.11169425,-0.00961235,1,27
40,439.158,36.735,427.879,34.719,0,45,S41,0,87,86,625.0728,59.1828,274.837,427.8318,34.6514,132.735,11.9001,11.3626,476.3112,0.12062916,0.01264271,1,26
41,587.334,47.792,575.971,46.651,0,46,S42,0,88,87,633.3432,59.8827,274.837,575.9204,46.5828,133.013,11.8854,11.3545,624.7786,0.10965804,-0.01097112,1,25
42,279.498,25.613,268.318,22.806,0,47,S43,0,85,84,625.115,58.6846,274.837,268.2779,22.7384,132.05,11.9301,11.3617,316.5785,0.14644489,-0.07680054,1,24
43,595.659,47.644,587.436,46.657,0,48,S44,0,86,85,633.3854,59.3845,274.837,587.3853,46.5887,133.033,11.8859,11.368,633.0383,0.10798645,-0.03845844,1,23
44,450.681,36.131,439.344,34.726,0,49,S45,0,83,82,625.1571,58.1864,274.837,439.2961,34.658,132.761,11.8991,11.3781,487.6818,0.1165563,-0.02065769,1,22
45,130.942,16.794,120.149,11.67,0,50,S46,0,84,83,633.4276,58.8862,274.837,120.1218,11.6029,144.01,13.3336,11.5358,168.8234,0.22324543,0.10668913,1,21
